"boostings","learning_rates","max_bins","min_data_in_leaf","max_depth","feature_fractions","bagging_fractions","bagging_freqs","lambda_l2s","val_score","test_score"
"gbdt",0.1,255,20,-1,0.8,0.8,1,0,0.347938570157304,0.400203983675632
"gbdt",0.01,255,20,-1,0.8,0.8,1,0,0.338137579197811,0.38742453979587
"gbdt",0.1,255,12,-1,0.8,0.8,1,0,0.341408813390872,0.383659685224621
"gbdt",0.01,255,12,-1,0.8,0.8,1,0,0.335226205717368,0.386715505592885
"gbdt",0.1,255,40,-1,0.8,0.8,1,0,0.345467685624569,0.395569066187558
"gbdt",0.01,255,40,-1,0.8,0.8,1,0,0.338166332207082,0.403932177347014
"gbdt",0.1,255,20,10,0.8,0.8,1,0,0.341757164606228,0.390668009147728
"gbdt",0.01,255,20,10,0.8,0.8,1,0,0.336560872167032,0.389967962979582
"gbdt",0.1,255,12,10,0.8,0.8,1,0,0.334909409427068,0.383596886618643
"gbdt",0.01,255,12,10,0.8,0.8,1,0,0.334070232411847,0.390068173664586
"gbdt",0.1,255,40,10,0.8,0.8,1,0,0.347913294604189,0.404101710601607
"gbdt",0.01,255,40,10,0.8,0.8,1,0,0.337328124228585,0.402615398320757
"gbdt",0.1,255,20,20,0.8,0.8,1,0,0.347938570157304,0.400203983675632
"gbdt",0.01,255,20,20,0.8,0.8,1,0,0.338175049030083,0.38742453979587
"gbdt",0.1,255,12,20,0.8,0.8,1,0,0.341986753891248,0.383659685224621
"gbdt",0.01,255,12,20,0.8,0.8,1,0,0.335226205717368,0.386715505592885
"gbdt",0.1,255,40,20,0.8,0.8,1,0,0.345467685624569,0.395569066187558
"gbdt",0.01,255,40,20,0.8,0.8,1,0,0.338166332207082,0.403932177347014
"gbdt",0.1,255,20,-1,0.9,0.8,1,0,0.340257336939293,0.391193309899463
"gbdt",0.01,255,20,-1,0.9,0.8,1,0,0.332819499036612,0.386259143689343
"gbdt",0.1,255,12,-1,0.9,0.8,1,0,0.338200200024335,0.388239677292173
"gbdt",0.01,255,12,-1,0.9,0.8,1,0,0.333829526243179,0.380592750789301
"gbdt",0.1,255,40,-1,0.9,0.8,1,0,0.335666453313607,0.410578417186914
"gbdt",0.01,255,40,-1,0.9,0.8,1,0,0.338442153655163,0.398683734408254
"gbdt",0.1,255,20,10,0.9,0.8,1,0,0.340651053667319,0.389538765882178
"gbdt",0.01,255,20,10,0.9,0.8,1,0,0.334564862218004,0.386025906987503
"gbdt",0.1,255,12,10,0.9,0.8,1,0,0.334325780740763,0.384558743097615
"gbdt",0.01,255,12,10,0.9,0.8,1,0,0.33370455964096,0.384822621783086
"gbdt",0.1,255,40,10,0.9,0.8,1,0,0.342104041456231,0.407819154425105
"gbdt",0.01,255,40,10,0.9,0.8,1,0,0.337181334253678,0.397363086146297
"gbdt",0.1,255,20,20,0.9,0.8,1,0,0.340257336939293,0.391193309899463
"gbdt",0.01,255,20,20,0.9,0.8,1,0,0.333049281622256,0.386259143689343
"gbdt",0.1,255,12,20,0.9,0.8,1,0,0.338200200024335,0.388239677292173
"gbdt",0.01,255,12,20,0.9,0.8,1,0,0.332867843148638,0.380592750789301
"gbdt",0.1,255,40,20,0.9,0.8,1,0,0.335666453313607,0.410578417186914
"gbdt",0.01,255,40,20,0.9,0.8,1,0,0.338442153655163,0.398683734408254
"gbdt",0.1,255,20,-1,1,0.8,1,0,0.33611078180042,0.375173437375364
"gbdt",0.01,255,20,-1,1,0.8,1,0,0.333306245234506,0.37845951251746
"gbdt",0.1,255,12,-1,1,0.8,1,0,0.332311599897484,0.376586201366107
"gbdt",0.01,255,12,-1,1,0.8,1,0,0.329365500090676,0.376181297307844
"gbdt",0.1,255,40,-1,1,0.8,1,0,0.335936106423355,0.40168432205168
"gbdt",0.01,255,40,-1,1,0.8,1,0,0.335865971788085,0.39470088603617
"gbdt",0.1,255,20,10,1,0.8,1,0,0.337113034654469,0.375001401113654
"gbdt",0.01,255,20,10,1,0.8,1,0,0.332269836278754,0.380653165923493
"gbdt",0.1,255,12,10,1,0.8,1,0,0.335934894850881,0.37509484339361
"gbdt",0.01,255,12,10,1,0.8,1,0,0.331038642014069,0.376475374718208
"gbdt",0.1,255,40,10,1,0.8,1,0,0.33535739751007,0.393237381147125
"gbdt",0.01,255,40,10,1,0.8,1,0,0.33490973079018,0.391399471692786
"gbdt",0.1,255,20,20,1,0.8,1,0,0.33611078180042,0.375173437375364
"gbdt",0.01,255,20,20,1,0.8,1,0,0.333306245234506,0.37845951251746
"gbdt",0.1,255,12,20,1,0.8,1,0,0.332311599897484,0.376586201366107
"gbdt",0.01,255,12,20,1,0.8,1,0,0.329358599863934,0.376181297307844
"gbdt",0.1,255,40,20,1,0.8,1,0,0.335936106423355,0.40168432205168
"gbdt",0.01,255,40,20,1,0.8,1,0,0.335865971788085,0.39470088603617
"gbdt",0.1,255,20,-1,0.8,0.9,1,0,0.341571184372478,0.38834244079004
"gbdt",0.01,255,20,-1,0.8,0.9,1,0,0.335319415821788,0.387911526224801
"gbdt",0.1,255,12,-1,0.8,0.9,1,0,0.34016906160955,0.39291484023607
"gbdt",0.01,255,12,-1,0.8,0.9,1,0,0.334464221822898,0.386169555397391
"gbdt",0.1,255,40,-1,0.8,0.9,1,0,0.341734635642879,0.401199617059283
"gbdt",0.01,255,40,-1,0.8,0.9,1,0,0.340319337603432,0.397789026950802
"gbdt",0.1,255,20,10,0.8,0.9,1,0,0.341895488281178,0.388153365129632
"gbdt",0.01,255,20,10,0.8,0.9,1,0,0.335776264768076,0.387880994090963
"gbdt",0.1,255,12,10,0.8,0.9,1,0,0.336715483253582,0.384638212162601
"gbdt",0.01,255,12,10,0.8,0.9,1,0,0.33532386947017,0.387438634813826
"gbdt",0.1,255,40,10,0.8,0.9,1,0,0.3398555191109,0.400895418198547
"gbdt",0.01,255,40,10,0.8,0.9,1,0,0.339648565378888,0.395795598453555
"gbdt",0.1,255,20,20,0.8,0.9,1,0,0.341571184372478,0.38834244079004
"gbdt",0.01,255,20,20,0.8,0.9,1,0,0.335319415821788,0.387911526224801
"gbdt",0.1,255,12,20,0.8,0.9,1,0,0.34016906160955,0.39291484023607
"gbdt",0.01,255,12,20,0.8,0.9,1,0,0.334628876862053,0.386169555397391
"gbdt",0.1,255,40,20,0.8,0.9,1,0,0.341734635642879,0.401199617059283
"gbdt",0.01,255,40,20,0.8,0.9,1,0,0.340319337603432,0.397789026950802
"gbdt",0.1,255,20,-1,0.9,0.9,1,0,0.338956753160474,0.391046162253403
"gbdt",0.01,255,20,-1,0.9,0.9,1,0,0.333896859169055,0.383918969139909
"gbdt",0.1,255,12,-1,0.9,0.9,1,0,0.3325310797822,0.390945606504317
"gbdt",0.01,255,12,-1,0.9,0.9,1,0,0.334210581062974,0.380139718259557
"gbdt",0.1,255,40,-1,0.9,0.9,1,0,0.338521649066277,0.393999136795243
"gbdt",0.01,255,40,-1,0.9,0.9,1,0,0.339596098474874,0.394578337182707
"gbdt",0.1,255,20,10,0.9,0.9,1,0,0.338462904565175,0.396283968130354
"gbdt",0.01,255,20,10,0.9,0.9,1,0,0.33370778784725,0.384427791946331
"gbdt",0.1,255,12,10,0.9,0.9,1,0,0.329658603152877,0.387253195473318
"gbdt",0.01,255,12,10,0.9,0.9,1,0,0.333413697544526,0.382008048939409
"gbdt",0.1,255,40,10,0.9,0.9,1,0,0.33602949221281,0.400584975992751
"gbdt",0.01,255,40,10,0.9,0.9,1,0,0.337262948569632,0.396246378494911
"gbdt",0.1,255,20,20,0.9,0.9,1,0,0.338956753160474,0.391046162253403
"gbdt",0.01,255,20,20,0.9,0.9,1,0,0.334161774727325,0.383918969139909
"gbdt",0.1,255,12,20,0.9,0.9,1,0,0.332531079782199,0.390945606504317
"gbdt",0.01,255,12,20,0.9,0.9,1,0,0.334210581062974,0.380139718259557
"gbdt",0.1,255,40,20,0.9,0.9,1,0,0.338521649066277,0.393999136795242
"gbdt",0.01,255,40,20,0.9,0.9,1,0,0.339596098474874,0.394578337182707
"gbdt",0.1,255,20,-1,1,0.9,1,0,0.332254663145856,0.378293149543722
"gbdt",0.01,255,20,-1,1,0.9,1,0,0.331068924707892,0.378471143730575
"gbdt",0.1,255,12,-1,1,0.9,1,0,0.333530397518637,0.384505884870378
"gbdt",0.01,255,12,-1,1,0.9,1,0,0.332766439419169,0.375493399637159
"gbdt",0.1,255,40,-1,1,0.9,1,0,0.335135267725484,0.398510786436629
"gbdt",0.01,255,40,-1,1,0.9,1,0,0.337367970117589,0.387822839816389
"gbdt",0.1,255,20,10,1,0.9,1,0,0.330367890420718,0.372565305714495
"gbdt",0.01,255,20,10,1,0.9,1,0,0.334871632012872,0.382567895310547
"gbdt",0.1,255,12,10,1,0.9,1,0,0.331729085953804,0.391133873678481
"gbdt",0.01,255,12,10,1,0.9,1,0,0.333276312392794,0.376204181563502
"gbdt",0.1,255,40,10,1,0.9,1,0,0.338588418919185,0.392365558436195
"gbdt",0.01,255,40,10,1,0.9,1,0,0.335166907119527,0.38926135932894
"gbdt",0.1,255,20,20,1,0.9,1,0,0.332254663145856,0.378293149543722
"gbdt",0.01,255,20,20,1,0.9,1,0,0.33099676093126,0.378471143730575
"gbdt",0.1,255,12,20,1,0.9,1,0,0.333530397518637,0.384505884870378
"gbdt",0.01,255,12,20,1,0.9,1,0,0.332766439419169,0.375493399637159
"gbdt",0.1,255,40,20,1,0.9,1,0,0.335135267725484,0.398510786436629
"gbdt",0.01,255,40,20,1,0.9,1,0,0.337422887924627,0.387822839816389
"gbdt",0.1,255,20,-1,0.8,1,1,0,0.345009903538701,0.399749931853573
"gbdt",0.01,255,20,-1,0.8,1,1,0,0.337389877159972,0.38456210574278
"gbdt",0.1,255,12,-1,0.8,1,1,0,0.341844336192367,0.385405657434925
"gbdt",0.01,255,12,-1,0.8,1,1,0,0.335186081570021,0.39174604999788
"gbdt",0.1,255,40,-1,0.8,1,1,0,0.341145969790839,0.402995245382716
"gbdt",0.01,255,40,-1,0.8,1,1,0,0.339381451464864,0.397344077435883
"gbdt",0.1,255,20,10,0.8,1,1,0,0.340864705277511,0.395454197179417
"gbdt",0.01,255,20,10,0.8,1,1,0,0.337310202749695,0.383564805693292
"gbdt",0.1,255,12,10,0.8,1,1,0,0.341970849632201,0.386335211085767
"gbdt",0.01,255,12,10,0.8,1,1,0,0.336105202558341,0.388135051167026
"gbdt",0.1,255,40,10,0.8,1,1,0,0.337630792826711,0.39856735381766
"gbdt",0.01,255,40,10,0.8,1,1,0,0.340525613599973,0.396517219717123
"gbdt",0.1,255,20,20,0.8,1,1,0,0.344953202517481,0.399749931853573
"gbdt",0.01,255,20,20,0.8,1,1,0,0.337389877159972,0.38456210574278
"gbdt",0.1,255,12,20,0.8,1,1,0,0.341844336192367,0.385405657434925
"gbdt",0.01,255,12,20,0.8,1,1,0,0.335100449589068,0.39174604999788
"gbdt",0.1,255,40,20,0.8,1,1,0,0.341145969790839,0.402995245382716
"gbdt",0.01,255,40,20,0.8,1,1,0,0.33928918897317,0.397344077435883
"gbdt",0.1,255,20,-1,0.9,1,1,0,0.337707846890211,0.38673219797336
"gbdt",0.01,255,20,-1,0.9,1,1,0,0.337406325641233,0.378907773577529
"gbdt",0.1,255,12,-1,0.9,1,1,0,0.338254121007301,0.389372055055463
"gbdt",0.01,255,12,-1,0.9,1,1,0,0.3339087560388,0.384406610788213
"gbdt",0.1,255,40,-1,0.9,1,1,0,0.338791691207929,0.390198789487919
"gbdt",0.01,255,40,-1,0.9,1,1,0,0.339793038499608,0.392660210178967
"gbdt",0.1,255,20,10,0.9,1,1,0,0.330744633173618,0.37849574123112
"gbdt",0.01,255,20,10,0.9,1,1,0,0.334243552105657,0.381521093730043
"gbdt",0.1,255,12,10,0.9,1,1,0,0.3391214351219,0.38221609471607
"gbdt",0.01,255,12,10,0.9,1,1,0,0.336252587383259,0.386391294262762
"gbdt",0.1,255,40,10,0.9,1,1,0,0.337016684916158,0.395458813526815
"gbdt",0.01,255,40,10,0.9,1,1,0,0.340624936850014,0.39220684561582
"gbdt",0.1,255,20,20,0.9,1,1,0,0.339138453586555,0.38673219797336
"gbdt",0.01,255,20,20,0.9,1,1,0,0.337406325641233,0.378907773577529
"gbdt",0.1,255,12,20,0.9,1,1,0,0.338606318435754,0.389372055055463
"gbdt",0.01,255,12,20,0.9,1,1,0,0.333242026821291,0.384406610788212
"gbdt",0.1,255,40,20,0.9,1,1,0,0.338791691207929,0.390198789487919
"gbdt",0.01,255,40,20,0.9,1,1,0,0.339783650736987,0.392660210178967
"gbdt",0.1,255,20,-1,1,1,1,0,0.334603264563924,0.374606535318172
"gbdt",0.01,255,20,-1,1,1,1,0,0.336362433068388,0.38207250080921
"gbdt",0.1,255,12,-1,1,1,1,0,0.337524900533478,0.397121189895525
"gbdt",0.01,255,12,-1,1,1,1,0,0.336730719224152,0.386116081751879
"gbdt",0.1,255,40,-1,1,1,1,0,0.338368599698105,0.395496687035952
"gbdt",0.01,255,40,-1,1,1,1,0,0.341320373454812,0.386023602261031
"gbdt",0.1,255,20,10,1,1,1,0,0.337169491018974,0.377540435153896
"gbdt",0.01,255,20,10,1,1,1,0,0.334704999627811,0.384429752433144
"gbdt",0.1,255,12,10,1,1,1,0,0.33866382773195,0.381061212155019
"gbdt",0.01,255,12,10,1,1,1,0,0.342217220655289,0.386853487721167
"gbdt",0.1,255,40,10,1,1,1,0,0.334345405130129,0.385843368086462
"gbdt",0.01,255,40,10,1,1,1,0,0.34279960995759,0.384469318595978
"gbdt",0.1,255,20,20,1,1,1,0,0.334603264563924,0.374606535318172
"gbdt",0.01,255,20,20,1,1,1,0,0.336342769924275,0.38207250080921
"gbdt",0.1,255,12,20,1,1,1,0,0.337524900533478,0.397121189895525
"gbdt",0.01,255,12,20,1,1,1,0,0.336730719224152,0.386116081751879
"gbdt",0.1,255,40,20,1,1,1,0,0.338806306160252,0.395496687035952
"gbdt",0.01,255,40,20,1,1,1,0,0.341320373454812,0.386023602261031
"gbdt",0.1,255,20,-1,0.8,0.8,5,0,0.341587787745622,0.384068425227363
"gbdt",0.01,255,20,-1,0.8,0.8,5,0,0.337385886991735,0.386250505975392
"gbdt",0.1,255,12,-1,0.8,0.8,5,0,0.34493369841744,0.378675784025105
"gbdt",0.01,255,12,-1,0.8,0.8,5,0,0.337235067976477,0.385635091747837
"gbdt",0.1,255,40,-1,0.8,0.8,5,0,0.349827524408333,0.405913827972878
"gbdt",0.01,255,40,-1,0.8,0.8,5,0,0.340463028009782,0.402517116620443
"gbdt",0.1,255,20,10,0.8,0.8,5,0,0.344361162896602,0.38726004144235
"gbdt",0.01,255,20,10,0.8,0.8,5,0,0.337719307846651,0.387840154280074
"gbdt",0.1,255,12,10,0.8,0.8,5,0,0.340299527716511,0.382683436644847
"gbdt",0.01,255,12,10,0.8,0.8,5,0,0.335617462616281,0.383833982596956
"gbdt",0.1,255,40,10,0.8,0.8,5,0,0.351087757979897,0.407784099064148
"gbdt",0.01,255,40,10,0.8,0.8,5,0,0.342130844258175,0.403086457542299
"gbdt",0.1,255,20,20,0.8,0.8,5,0,0.341587787745622,0.384068425227363
"gbdt",0.01,255,20,20,0.8,0.8,5,0,0.337508447687096,0.384364240125254
"gbdt",0.1,255,12,20,0.8,0.8,5,0,0.34493369841744,0.378675784025105
"gbdt",0.01,255,12,20,0.8,0.8,5,0,0.337235067976477,0.385635091747837
"gbdt",0.1,255,40,20,0.8,0.8,5,0,0.349827524408333,0.405913827972878
"gbdt",0.01,255,40,20,0.8,0.8,5,0,0.340463028009782,0.402517116620443
"gbdt",0.1,255,20,-1,0.9,0.8,5,0,0.33844094423304,0.385475957287382
"gbdt",0.01,255,20,-1,0.9,0.8,5,0,0.336913215106203,0.377543107129611
"gbdt",0.1,255,12,-1,0.9,0.8,5,0,0.338122552134915,0.370824551681023
"gbdt",0.01,255,12,-1,0.9,0.8,5,0,0.33599575478871,0.383009382086829
"gbdt",0.1,255,40,-1,0.9,0.8,5,0,0.348796729647909,0.398281116012483
"gbdt",0.01,255,40,-1,0.9,0.8,5,0,0.342158893480878,0.401649377110757
"gbdt",0.1,255,20,10,0.9,0.8,5,0,0.33880796450474,0.385184986963658
"gbdt",0.01,255,20,10,0.9,0.8,5,0,0.33644467490826,0.384008273084183
"gbdt",0.1,255,12,10,0.9,0.8,5,0,0.33838782452202,0.382318909168578
"gbdt",0.01,255,12,10,0.9,0.8,5,0,0.334939817263549,0.383520216251123
"gbdt",0.1,255,40,10,0.9,0.8,5,0,0.342547070446741,0.394641692431101
"gbdt",0.01,255,40,10,0.9,0.8,5,0,0.343385242753217,0.405673308752795
"gbdt",0.1,255,20,20,0.9,0.8,5,0,0.33844094423304,0.385475957287382
"gbdt",0.01,255,20,20,0.9,0.8,5,0,0.336196717729039,0.377543107129611
"gbdt",0.1,255,12,20,0.9,0.8,5,0,0.337319768342185,0.370824551681023
"gbdt",0.01,255,12,20,0.9,0.8,5,0,0.33599575478871,0.383009382086829
"gbdt",0.1,255,40,20,0.9,0.8,5,0,0.348796729647909,0.398281116012483
"gbdt",0.01,255,40,20,0.9,0.8,5,0,0.342158893480878,0.401649377110757
"gbdt",0.1,255,20,-1,1,0.8,5,0,0.341239457528261,0.394652257461719
"gbdt",0.01,255,20,-1,1,0.8,5,0,0.337172820229245,0.38701685816216
"gbdt",0.1,255,12,-1,1,0.8,5,0,0.34341140171803,0.364263934075151
"gbdt",0.01,255,12,-1,1,0.8,5,0,0.331917942896253,0.378664341253462
"gbdt",0.1,255,40,-1,1,0.8,5,0,0.336154250988054,0.405069430668541
"gbdt",0.01,255,40,-1,1,0.8,5,0,0.345070270296436,0.401536648920683
"gbdt",0.1,255,20,10,1,0.8,5,0,0.343762016581596,0.387376428416793
"gbdt",0.01,255,20,10,1,0.8,5,0,0.335492852382488,0.381213650550691
"gbdt",0.1,255,12,10,1,0.8,5,0,0.340768181175866,0.374828137509917
"gbdt",0.01,255,12,10,1,0.8,5,0,0.331803286211015,0.381487929880321
"gbdt",0.1,255,40,10,1,0.8,5,0,0.340762968737611,0.392918169007551
"gbdt",0.01,255,40,10,1,0.8,5,0,0.341694543970893,0.400640317570258
"gbdt",0.1,255,20,20,1,0.8,5,0,0.341239457528261,0.394652257461719
"gbdt",0.01,255,20,20,1,0.8,5,0,0.337871061023907,0.38701685816216
"gbdt",0.1,255,12,20,1,0.8,5,0,0.343411401718029,0.364263934075151
"gbdt",0.01,255,12,20,1,0.8,5,0,0.331917942896253,0.378664341253462
"gbdt",0.1,255,40,20,1,0.8,5,0,0.336154250988054,0.405069430668541
"gbdt",0.01,255,40,20,1,0.8,5,0,0.345070270296436,0.401536648920683
"gbdt",0.1,255,20,-1,0.8,0.9,5,0,0.339660517282596,0.404055561209176
"gbdt",0.01,255,20,-1,0.8,0.9,5,0,0.335323500577969,0.392461697253616
"gbdt",0.1,255,12,-1,0.8,0.9,5,0,0.341586321657747,0.393492728360588
"gbdt",0.01,255,12,-1,0.8,0.9,5,0,0.333274932472336,0.391022187825848
"gbdt",0.1,255,40,-1,0.8,0.9,5,0,0.343496625204224,0.403268043190646
"gbdt",0.01,255,40,-1,0.8,0.9,5,0,0.343332480680664,0.400672858782782
